id,topic,question_examples,answer,link,keywords
14,Рейтинг,клиент поставил плохую оценку; несправедливая оценка; оспорить оценку,"Если оценка кажется несправедливой, обратитесь в поддержку и опишите ситуацию. Приложите номер заказа и факты, которые помогут проверить обращение.",https://platform.example/docs/appeal-rating,плохая оценка несправедливо клиент оспорить
15,Рейтинг,на что влияет рейтинг; зачем нужен рейтинг; рейтинг и заказы,"Рейтинг может влиять на доступ к заказам, приоритет и участие в бонусных программах. Точные правила зависят от платформы и указаны в разделе о рейтинге.",https://platform.example/docs/rating-effects,рейтинг влияет приоритет заказы бонусы
16,Рейтинг,пропали бонусы из-за рейтинга; не дали бонус; рейтинг ниже порога,"Некоторые бонусы доступны только при выполнении условий по рейтингу, активности и отменам. Проверьте правила акции и свой текущий показатель в приложении.",https://platform.example/docs/bonus-rating,бонус рейтинг порог акция условия
17,Документы,какие документы нужны; какие документы загрузить; регистрация водителя,"Обычно нужны паспорт, водительское удостоверение, документы на автомобиль и данные для выплат. Точный список зависит от города и типа работы.",https://platform.example/docs/documents,документы паспорт права автомобиль регистрация
18,Документы,не приняли права; отклонили документ; документ не прошел проверку,"Документ могут отклонить из-за плохого качества фото, истекшего срока действия, бликов, обрезанных краев или несовпадения данных. Загрузите фото заново при хорошем освещении.",https://platform.example/docs/document-rejected,отклонили документ права фото проверка качество
19,Документы,как обновить документы; истек срок прав; поменял паспорт,"Откройте раздел документов в приложении, выберите нужный документ и загрузите актуальную версию. До завершения проверки некоторые функции могут быть недоступны.",https://platform.example/docs/update-documents,обновить документы срок паспорт права загрузить
20,Документы,сколько проверяют документы; долго проверяют; когда одобрят документы,"Проверка документов обычно занимает от нескольких часов до нескольких рабочих дней. Если срок сильно превышен, обратитесь в поддержку и укажите тип документа.",https://platform.example/docs/document-check-time,проверка документов долго одобрение срок
21,Документы,не могу загрузить фото; ошибка загрузки документа; файл не прикрепляется,"Проверьте интернет, формат файла и качество изображения. Попробуйте перезапустить приложение или загрузить документ позже. Если ошибка повторяется, отправьте скриншот в поддержку.",https://platform.example/docs/upload-error,загрузить фото ошибка файл документ
22,Штрафы и списания,почему списали деньги; списание с баланса; удержали сумму,"Списание может быть связано с отменой заказа, нарушением правил, корректировкой расчета, жалобой клиента или возвратом. Проверьте детализацию баланса и описание списания.",https://platform.example/docs/charges,списание деньги баланс удержание штраф
23,Штрафы и списания,за что штраф; начислили штраф; не согласен со штрафом,"Причина штрафа обычно указана в детализации. Если вы не согласны, обратитесь в поддержку, укажите номер заказа и объясните, почему списание кажется ошибочным.",https://platform.example/docs/fines,штраф причина не согласен заказ детализация
24,Штрафы и списания,как оспорить списание; вернуть деньги; ошибочное списание,"Чтобы оспорить списание, подготовьте номер заказа, дату, сумму и описание ситуации. Бот может помочь составить короткое обращение в поддержку.",https://platform.example/docs/appeal-charge,оспорить списание вернуть деньги ошибка
25,Штрафы и списания,удержали за отмену; штраф за отмену заказа; списание из-за отмены,"Некоторые платформы удерживают сумму за отмену, если она произошла после принятия заказа или без уважительной причины. Проверьте правила отмен и детализацию заказа.",https://platform.example/docs/cancel-fee,отмена штраф удержание заказ правила
26,Заказы,почему мало заказов; нет заказов; заказы не приходят,"Количество заказов зависит от спроса, района, времени суток, рейтинга, статуса документов и числа водителей рядом. Попробуйте сменить район, проверить статус профиля и выйти в часы высокого спроса.",https://platform.example/docs/no-orders,мало заказов спрос район время рейтинг
27,Заказы,почему отменили заказ; заказ пропал; клиент отменил,"Заказ может быть отменен клиентом, системой или из-за технической ошибки. Проверьте историю заказа и начисления. Если отмена повлияла на рейтинг или выплату, обратитесь в поддержку.",https://platform.example/docs/order-cancelled,отменили заказ клиент пропал история
28,Заказы,как работают приоритеты; почему другим дают больше заказов; приоритет заказов,"Приоритет может зависеть от рейтинга, активности, района, времени выхода, процента отмен и типа автомобиля. Точные правила смотрите в разделе о распределении заказов.",https://platform.example/docs/order-priority,приоритет заказы рейтинг активность распределение
29,Заказы,ошибка в маршруте; неправильный адрес; навигатор ведет не туда,"Если в заказе указан неправильный адрес или маршрут, свяжитесь с клиентом через приложение и следуйте правилам платформы. После заказа можно отправить обращение, если ошибка повлияла на оплату.",https://platform.example/docs/route-error,маршрут адрес навигатор ошибка заказ
30,Заказы,клиент не вышел; ожидание клиента; пассажир не пришел,"Если клиент не вышел, действуйте по правилам ожидания в приложении. Обычно нужно дождаться минимального времени и отменить заказ через правильную причину.",https://platform.example/docs/client-no-show,клиент не вышел ожидание пассажир отмена
31,Заказы,сломалась машина на заказе; не могу выполнить заказ; аварийная ситуация,"Если автомобиль сломался во время заказа, остановитесь в безопасном месте, предупредите клиента и поддержку. Не продолжайте поездку, если это небезопасно.",https://platform.example/docs/car-breakdown,машина сломалась авария заказ безопасность
32,Безопасность,конфликт с клиентом; клиент угрожает; опасный пассажир,"Если есть угроза безопасности, завершите поездку в безопасном месте, при необходимости вызовите экстренные службы и сообщите в поддержку. Сохраняйте спокойствие и не вступайте в конфликт.",https://platform.example/docs/safety-conflict,конфликт клиент угроза безопасность пассажир
33,Безопасность,попал в аварию; ДТП во время заказа; авария с клиентом,"При ДТП сначала убедитесь, что все в безопасности, вызовите экстренные службы при необходимости, оформите происшествие по правилам и сообщите в поддержку платформы.",https://platform.example/docs/accident,дтп авария заказ экстренные службы безопасность
34,Безопасность,клиент испортил машину; повреждение автомобиля; ущерб,"Зафиксируйте повреждение на фото, сохраните данные заказа и обратитесь в поддержку. Чем больше доказательств, тем проще проверить ситуацию.",https://platform.example/docs/damage,повреждение машина ущерб фото клиент
35,Безопасность,оставили вещи; забытые вещи; клиент забыл телефон,"Если клиент забыл вещь, действуйте по инструкции платформы: не передавайте вещь третьим лицам и свяжитесь с поддержкой или клиентом через безопасный канал.",https://platform.example/docs/lost-items,забытые вещи телефон клиент вернуть
36,Поддержка,как написать в поддержку; где поддержка; связаться с оператором,"Откройте раздел помощи в приложении и выберите тему обращения. Чтобы быстрее получить ответ, укажите номер заказа, дату, город и приложите скриншоты.",https://platform.example/docs/support,поддержка оператор обращение помощь написать
37,Поддержка,поддержка не отвечает; долго нет ответа; обращение без ответа,"Если поддержка долго не отвечает, проверьте статус обращения и не создавайте много одинаковых заявок. Лучше дополнить уже открытое обращение новой информацией.",https://platform.example/docs/support-wait,поддержка не отвечает долго статус обращение
38,Поддержка,как составить обращение; что написать в поддержку; шаблон жалобы,"В обращении лучше указать: что произошло, дату и время, номер заказа, город, сумму или статус, а также приложить скриншоты. Пишите коротко и по фактам.",https://platform.example/docs/support-template,обращение шаблон написать поддержка жалоба
39,Налоги и самозанятость,как стать самозанятым; нужен налог; налог для водителя,"Если платформа работает с самозанятыми, нужно зарегистрироваться в приложении налоговой службы и привязать статус к профилю. Уточните требования платформы в своем городе.",https://platform.example/docs/self-employed,самозанятость налог статус водитель
40,Налоги и самозанятость,как получить чек; чек самозанятого; где чеки,Чеки по доходам самозанятого обычно формируются в налоговом приложении или автоматически через интеграцию платформы. Проверьте раздел налогов и историю выплат.,https://platform.example/docs/receipts,чек самозанятый налог доход
41,Налоги и самозанятость,нужна справка о доходах; подтвердить доход; налоговая справка,Справку о доходах можно сформировать в приложении налоговой службы или запросить отчет по выплатам в личном кабинете платформы.,https://platform.example/docs/tax-income,справка доход налог подтвердить
42,Приложение,не работает приложение; приложение зависло; ошибка приложения,"Попробуйте обновить приложение, проверить интернет, очистить кеш и перезапустить телефон. Если ошибка повторяется, отправьте скриншот и время сбоя в поддержку.",https://platform.example/docs/app-error,приложение ошибка зависло интернет кеш
43,Приложение,не приходит код; не могу войти; проблема со входом,"Проверьте номер телефона, интернет и возможность получать SMS. Если код не приходит несколько раз, попробуйте позже или обратитесь в поддержку.",https://platform.example/docs/login,код вход смс телефон авторизация
44,Приложение,как поменять город; хочу работать в другом городе; смена региона,Смена города может быть доступна в профиле или через поддержку. В некоторых городах требуется повторная проверка документов или условий доступа.,https://platform.example/docs/change-city,город регион смена работать другой
45,Приложение,уведомления не приходят; нет пушей; не вижу новые заказы,"Проверьте разрешения на уведомления, режим энергосбережения и интернет. Также убедитесь, что вы онлайн и профиль не ограничен.",https://platform.example/docs/notifications,уведомления пуши заказы интернет
46,Обучение и правила,где пройти обучение; нужен тест; обучающие материалы,"Обучающие материалы обычно доступны в приложении или личном кабинете. Если доступ к заказам зависит от теста, пройдите его до выхода на линию.",https://platform.example/docs/training,обучение тест материалы правила
47,Обучение и правила,какие правила заказов; правила сервиса; стандарты работы,"Основные правила касаются принятия и отмены заказов, общения с клиентами, безопасности, документов и качества сервиса. Нарушения могут влиять на рейтинг или доступ.",https://platform.example/docs/rules,правила сервис стандарты заказ нарушение
48,Обучение и правила,можно ли передать аккаунт; работать за другого; аккаунт другу,"Передавать аккаунт другому человеку нельзя. Это может привести к блокировке, потому что платформа должна понимать, кто реально выполняет заказ.",https://platform.example/docs/account-sharing,аккаунт передать другой человек запрет
49,Бонусы,почему не начислили бонус; бонус пропал; не вижу акцию,"Бонус может не начислиться, если не выполнены условия акции: рейтинг, число заказов, время, район или отсутствие отмен. Проверьте правила акции и историю заказов.",https://platform.example/docs/bonus,бонус акция начислили условия пропал
50,Бонусы,как участвовать в акции; где посмотреть бонусы; условия бонусов,"Актуальные акции и бонусы обычно отображаются в приложении. Перед участием проверьте условия: период, район, минимальное число заказов и требования к рейтингу.",https://platform.example/docs/promos,акция бонус условия участвовать
